# time (ns)  #native #non-native
   0.1630    1956.0000     553.0000
   0.1640    1955.0000     544.0000
   0.1650    1955.0000     543.0000
   0.1660    1956.0000     540.0000
   0.1670    1955.0000     542.0000
   0.1680    1955.0000     546.0000
   0.1690    1954.0000     549.0000
   0.1700    1957.0000     557.0000
   0.1710    1956.0000     561.0000
   0.1720    1955.0000     561.0000
   0.1730    1955.0000     560.0000
   0.1740    1953.0000     557.0000
   0.1750    1954.0000     555.0000
   0.1760    1957.0000     551.0000
   0.1770    1961.0000     546.0000
   0.1780    1960.0000     548.0000
   0.1790    1959.0000     550.0000
   0.1800    1959.0000     556.0000
   0.1810    1957.0000     552.0000
   0.1820    1957.0000     553.0000
   0.1830    1957.0000     552.0000
   0.1840    1958.0000     552.0000
   0.1850    1958.0000     555.0000
   0.1860    1958.0000     556.0000
   0.1870    1958.0000     560.0000
   0.1880    1957.0000     559.0000
   0.1890    1955.0000     565.0000
   0.1900    1956.0000     569.0000
   0.1910    1957.0000     563.0000
   0.1920    1958.0000     562.0000
   0.1930    1960.0000     562.0000
   0.1940    1960.0000     562.0000
   0.1950    1959.0000     566.0000
   0.1960    1960.0000     565.0000
   0.1970    1960.0000     569.0000
   0.1980    1960.0000     572.0000
   0.1990    1958.0000     573.0000
   0.2000    1959.0000     573.0000
